,0
0,San Isidro
1,San Jose
2,Rizal
3,Pilar
4,Quezon
5,San Fernando
6,San Juan
7,San Miguel
8,Santa Maria
9,Burgos
10,Carmen
11,Santa Cruz
12,Santo Tomas
13,Buenavista
14,Magsaysay
15,Rosario
16,San Francisco
17,Concepcion
18,La Paz
19,Mabini
20,San Antonio
21,San Luis
22,San Vicente
23,Santa Fe
24,Talisay
25,Victoria
26,Alicia
27,Aurora
28,Bato
29,Claveria
30,Dolores
31,Esperanza
32,Isabela
33,Luna
34,Magallanes
35,Pamplona
36,Plaridel
37,Quirino
38,Roxas
39,San Agustin
40,San Andres
41,San Manuel
42,San Nicolas
43,Santiago
44,Santo Domingo
45,Santo Nino
46,Valencia
47,Alaminos
48,Alcala
49,Alcantara
50,Alegria
51,Anda
52,Balete
53,Banga
54,Baras
55,Batuan
56,Biliran
57,Bontoc
58,Bulacan
59,Cabatuan
60,Calamba
61,Calatrava
62,Candelaria
63,Casiguran
64,Catarman
65,Cauayan
66,Clarin
67,Compostela
68,Cortes
69,General Luna
70,Hagonoy
71,Infanta
72,Kalayaan
73,Kapatagan
74,La Libertad
75,Lemery
76,Leyte
77,Libertad
78,Liloan
79,Looc
80,Loreto
81,Maasin
82,Malinao
83,Malitbog
84,Masbate
85,Mercedes
86,Morong
87,Naga
88,Naguilian
89,Padre Burgos
90,Pandan
91,Parang
92,Pitogo
93,Placer
94,Pontevedra
95,President Roxas
96,Romblon
97,Salcedo
98,San Carlos City
99,San Enrique
100,San Ildefonso
101,San Jacinto
102,San Mateo
103,San Narciso
104,San Pablo
105,San Pascual
106,San Quintin
107,San Rafael
108,San Remigio
109,Santa Ana
110,Santa Barbara
111,Santa Catalina
112,Santa Rita
113,Santa Rosa
114,Santa Teresita
115,Sarangani
116,Siquijor
117,Sison
118,Socorro
119,Sogod
120,Sorsogon
121,Sultan Kudarat
122,Tagoloan
123,Tanauan
124,Tarlac
125,Taytay
126,Tubod
127,Tuburan
128,Tudela
