,id,brand,name,lat,lng,vicinity
1,ChIJ8aEd9AfyljMRtVgVdqt50kQ,Coffee Bean and Tea Leaf,The Coffee Bean and Tea Leaf,15.1640386,120.6095047,"Aniceto Gueco St, Angeles"
2,ChIJr_LhvYDtljMRoHrJ5BjoZJE,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,15.1689218,120.5802432,"G/F SM City Clark, Manuel A. Roxas Hwy, Clark Freeport, Mabalacat"
3,ChIJc0t13u3tljMRLbLEQRp3vZs,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,15.169827,120.578192,"Tech Hub, SM Clark, Clark Freeport, Angeles"
4,ChIJ2dePHIjzljMRN2gsqVkO6S4,Coffee Bean and Tea Leaf,The Coffee Bean and Tea Leaf,15.1676938,120.5642391,"Clark Freeport, Mabalacat"
5,ChIJy19IElXtljMRnnAcNA-x2iA,Starbucks,Starbucks,15.1778895,120.5300572,"Manuel A. Roxas Hwy, Clark Freeport, Mabalacat"
6,ChIJH25dmgfyljMRBty8068tFbU,Starbucks,Starbucks Marquee Mall,15.1633241,120.6107345,Angeles
7,ChIJK3yZwivtljMR4qvdCcdPN0M,Starbucks,Starbucks,15.1785671,120.5729495,"Two West Aeropark Aeropark Campus, Gatwick Gateway, Clark Freeport, Mabalacat"
8,ChIJl7kB0X7yljMRhirDvdkjeaU,Starbucks,Starbucks,15.1684095,120.5801295,"M.A. Ground Floor, Manuel A. Roxas Hwy, Angeles"
9,ChIJv5ue67OSljMRCyhlk2Giiyw,Starbucks,Starbucks Clark,15.1918018,120.5233602,"2023 Manuel A. Roxas Hwy, Clark Freeport, Angeles"
10,ChIJ1Qr6bKntljMRMrzRLt1cNb4,Starbucks,Starbucks Clark Airmall,15.1877231,120.5486146,"Clark Freeport, Mabalacat"
12,ChIJabfwE3byljMRH61s1gl4r_0,Starbucks,Bella Goose Coffee,15.1662205,120.5901679,"Balibago, Angeles"
13,ChIJHc6BrqqSljMRdhW4x5uI7_c,Starbucks,Berthaphil III Clark Center,15.1771446,120.5262929,"Jose Abad Santos Ave, Clark Freeport, Zone"
14,ChIJF9pybHbtljMR5k7ZVj02DSY,Tim Hortons,Tim Hortons,15.1699049,120.5818673,"SM City Road, Clark Freeport, Angeles"
15,ChIJa8JYSbHtljMR5APN97XEmXc,Coffee Project,The Milktea Project - Angeles City Branch,15.1679798,120.5919084,"Balibago, Angeles"
16,ChIJ03VFWePzljMR9s8HaX1aKmk,Coffee Bean and Tea Leaf,Coffee Bean and Tea Leaf SM Telabastagan,15.1195405,120.6030232,186-187 SM City Telabastagan
17,ChIJC82vKE7yljMRNdX4kiKOK9M,Starbucks,Starbucks,15.1334724,120.5858307,"Plaridel Street, Angeles"
18,ChIJr4NP4qXzljMRbYydDLgONPA,Starbucks,Starbucks,15.1200068,120.6020063,"R-9, San Fernando"
22,ChIJbfh8GXzzljMRCJXf7_rAxLE,Starbucks,Starbucks,15.1427352,120.5945424,"B. Aquino St, Angeles"
26,ChIJN2GWxeDxljMRtPRZ_AnKgN8,Coffee Project,Tea Project Baliti,15.100901,120.620507,"coca cola, San Fernando"
1,ChIJS0bd3QO6lzMR1YOSfdjLXBs,Starbucks,Starbucks,14.681942,121.0855026,"Diliman Commercial Center, 46 Commonwealth Ave, Quezon City"
2,ChIJk9fX8DO5lzMRwSZszHLblQA,Starbucks,Starbucks,14.677814,121.0850368,"Calle Bistro, Ever Commonwealth, Quezon City"
3,ChIJf0weZy-6lzMRTY7PVvCbXpE,Starbucks,Starbucks SM San Mateo,14.6802778,121.1141667,"General Luna St, Manila"
4,ChIJfd7Y3QO6lzMRpnVeMJypvdU,Starbucks,Starbucks,14.6768308,121.0819139,"Ground Floor, Commercial Center, 1126, Commonwealth Ave, Diliman, Quezon City"
5,ChIJXwjUwzOxlzMRgwzAZ1nVpbA,Tim Hortons,Tim Hortons,14.6778194,121.08649,"Ever Commonwelath, Calle Bistro (near shakeys mallentrance, Commonwealth Ave, Quezon City"
6,ChIJcYOVPiS4lzMRjY90r49zbgI,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf Ayala Malls Feliz,14.6194657,121.0941692,"Ayala Malls Feliz, 1800 Marikina-Infanta Hwy, Pasig"
7,ChIJR9pY9ci_lzMRY_lQA7Qzr8Y,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.5953856,121.1723871,"Robinsons Place Antipolo Sumulong Hi-Way, Cor L. Sumulong Memorial Circle, Antipolo"
8,ChIJEWhxwN63lzMR4B9cFH6Xvig,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf® - Head Office,14.6014782,121.0807944,"Unit 4, 108 Eulogio Rodriguez Jr. Ave, Quezon City"
9,ChIJK-2ScovHlzMRdOpMtfsxTtY,Coffee Bean and Tea Leaf,Coffee Bean and the Tea Leaf SM East Ortigas,14.5866756,121.1047425,"Ortigas Ave Ext, Pasig"
10,ChIJDU4A1ObHlzMR3EI_h35izcU,Starbucks,Starbucks,14.5778861,121.0856605,"Hampton Gardens Arcade, C. Raymundo Ave, Pasig"
11,ChIJA19AeIvHlzMRKvU32zcr0HA,Starbucks,Starbucks,14.5878493,121.1050593,"SM City East Ortigas Ext 1608, Ortigas Ave Ext, Pasig"
12,ChIJX9EquxLHlzMRhlKXDb0sn-I,Starbucks,Starbucks,14.5912905,121.0814764,"Bridgetowne, Eulogio Rodriguez Jr. Ave, Quezon City"
13,ChIJB4JzQa3HlzMRCyHZ2J7OEKc,Starbucks,Starbucks Mercedes Residences,14.5681727,121.087348,"29 Mercedes Ave, Pasig"
14,ChIJZ4IKiDy4lzMR3EtZuXbMZ24,Starbucks,Starbucks,14.6191783,121.0928529,"Ayala Mall Feliz, Marikina-Infanta Hwy, Pasig"
15,ChIJIeVLFya4lzMRPadpwV5Rxno,Starbucks,Starbucks,14.625877,121.084007,"SM Marikina, Marikina-Infanta Hwy, Marikina"
16,ChIJwQXsFBPHlzMRez9MM8lNGOI,Starbucks,Starbucks,14.564735,121.139557,"Manila E Rd, Taytay"
17,ChIJi8CsH1C4lzMRiHM45ERS4UA,Starbucks,Starbucks,14.623572,121.1138759,"800 Marikina-Infanta Hwy, Antipolo"
18,ChIJ_x1yRT25lzMRipuQtaDqEms,Starbucks,Starbucks Coffee,14.6027606,121.0884689,"Bagumbayan, Quezon City"
19,ChIJ3RKGHj-4lzMRAVbEKLrvx54,Starbucks,STARBUCKS Sta. Lucia,14.6175214,121.0997096,"Sta. Lucia Drive, Sta. Lucia East Grand Mall, Felix Ave, Cainta"
20,ChIJGz2Laju5lzMRQCYk6DPDwSw,Starbucks,Starbucks,14.619862,121.0998671,"Unit #135, Marikina-Infanta Hwy, Barangay Dela Paz, Pasig"
21,ChIJWa5tvla4lzMR0Ker8OgC60g,Starbucks,Starbucks,14.6253111,121.1198909,"SM City Masinag, Marikina-Infanta Hwy, Masinag, Antipolo"
22,ChIJ14ZXx8q5lzMRc6yQjcEHU5E,Starbucks,Starbucks Bluewave,14.635422,121.1010168,"Blue Wave Strip Mall, 22 Sumulong Highway Corner G Fernando Ave, Sto Nino, Marikina"
23,ChIJiSOUWFbHlzMR2seLgYGkH8k,Starbucks,Starbucks,14.5761295,121.1229074,"Ortigas Ave Ext, Cainta"
24,ChIJVZnIPk2_lzMRr_Ib_vzsOEk,Starbucks,Starbucks,14.5951426,121.1723826,"Garden Courtyard, Robinsons Place Antipolo, Sumulong Hwy, Antipolo"
25,ChIJ80vq8VO_lzMR762OqdejL9Q,Starbucks,Starbucks,14.5878672,121.1758221,"M.L. Quezon Street, Antipolo"
26,ChIJMTj5RYPHlzMRdxKX-bK9pJw,Starbucks,Starbucks,14.5864844,121.114876,"Santo Domingo, Cainta"
27,ChIJnV93eqO5lzMRxUaqkL-qQ0c,Starbucks,Starbucks,14.6483418,121.1161271,Marikina Heights
28,ChIJMc_jg8TGlzMRUFjS-ACzXNw,Starbucks,Starbucks - SM Center Angono,14.531227,121.154279,"SM Center Angono, Quezon Ave, Angono"
29,ChIJK9n3x7HAlzMRBgtwD6xM8SQ,Starbucks,Starbucks,14.5704078,121.1786514,Antipolo
30,ChIJuYnRFz7HlzMR4tYvfHWd_Kg,Starbucks,Starbucks at Sierra Valley Complex,14.5814088,121.1316983,"Ortigas Ave Ext, Cainta"
31,ChIJv31djR24lzMRCPIjLqyioL0,Starbucks,Starbucks,14.6097987,121.0814662,"G/F Citywalk, 2 Garden Road, Bagumbayan, Quezon City"
32,ChIJyxcsMR25lzMRbY992Oy_u8c,Starbucks,Starbucks Sumulong Highway,14.6125675,121.1565579,"23 Sumulong Hwy, Sta. Cruz, Antipolo"
33,ChIJ7V32TGzHlzMRY31SYdwv3Mo,Starbucks,Starbucks,14.5795974,121.1354205,"Ortigas Ave Ext, Taytay"
34,ChIJnfjOuUrHlzMRpKcbkqKLHvs,Starbucks,Starbucks Sierra Valley,14.5818602,121.1317908,"19 Don Celso S. Tuason Ave, Cainta"
35,ChIJJS2PWp7HlzMRjFGC_KhJaWI,Tim Hortons,Tim Hortons,14.5901598,121.0809402,"Ortigas Ave, Pasig"
36,ChIJ1cwa3XXHlzMROiJfm2H4CKw,Tim Hortons,Tim Hortons,14.5900258,121.0805663,"Ortigas Ave, Pasig"
37,ChIJIVosmCzHlzMRDifHCu_YRRw,Tim Hortons,Tim Hortons L & Y Plaza,14.5901717,121.0808712,Pasig
38,ChIJr6zH6LHAlzMRoxF7ap13Bpg,Coffee Project,Coffee Project,14.5706638,121.177894,"Vista, Antipolo"
40,ChIJkXmzJBfIlzMR1IdWkLmda0Q,Coffee Bean and Tea Leaf,The Coffee Bean and Tea Leaf,14.5866257,121.0613601,"Ortigas Ave, San Antonio, Pasig"
41,ChIJS5H0hMm5lzMRbFGfCMmzESc,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.6075944,121.0798232,"1, Building, 110 Eastwood Ave, Bagumbayan, Quezon City"
42,ChIJI_iQ3N63lzMRqdQ8wMnDCqY,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.6034118,121.0515389,San Juan
43,ChIJsWwsKgXIlzMRWzoGLZOxsSg,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.5900023,121.0681186,"Rockwell Business Center Tower 2, Level 1, Ortigas Ave, Pasig"
44,ChIJS9PLlGzIlzMRB6glmpxCBXo,Coffee Bean and Tea Leaf,Coffee Bean and Tea Leaf - Capitol Commons,14.5763968,121.0636112,"1605, Camino Verde Rd, Pasig"
45,ChIJAxZhDhbIlzMRisuR919Z304,Coffee Bean and Tea Leaf,The Coffee Bean and Tea Leaf,14.5843359,121.057607,"422 EDSA Cor Julia Vargas Avenue, Ortigas Center, Mandaluyong"
46,ChIJ-9zUCBnIlzMRJ-3KHlVCEtw,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.5893434,121.0619853,"Citadines Millennium Ortigas, Sapphire Rd, Ortigas Center, Pasig"
47,ChIJGwBAu2O3lzMRGKCiEy_hT70,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.6518448,121.0755194,"19 N Perez St, Diliman, Quezon City"
48,ChIJ6anjqBnIlzMRlFPMsmV8ISE,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.5910608,121.0598466,"Level 2, Robinsons Galleria, EDSA cor, Ortigas Ave, Ortigas Center, Quezon City"
49,ChIJX_H5E7-3lzMRTHso1xzI05Y,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.6212056,121.053007,"Space 003, General Roxas Ave, Cubao, Quezon City"
50,ChIJ19RYyD_IlzMR_Ze9KbmE4Kw,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.581267,121.0553679,"GD 110 Main Wing, Shangri-La Plaza, EDSA Corner Shaw Boulevard, Ortigas Center, Mandaluyong"
51,ChIJ6TsqcjrIlzMRCbB0zmX5XbE,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.5873777,121.0458736,"Upper Ground Floor, SM Cherry Shaw Blvd., Mandaluyong City 1552"
53,ChIJD05OsBS3lzMRblKT12W42MU,Coffee Bean and Tea Leaf,The Coffee Bean And Tea Leaf,14.65717,121.05592,"Don Mariano Marcos Ave, Diliman, Quezon City"
54,ChIJG5WYhgC3lzMRbunO-R8lnwI,Coffee Bean and Tea Leaf,The Coffee Bean & Tea Leaf,14.6516975,121.0356806,"Unit# R1 - L1 - 030 - 031, North Ave, Bago Bantay, Quezon City"
