Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/25/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,17231.37976,20262.94489,24343.25518,27313.49536,27884.25315,28953.52471,29031.74375,29324.79206,29989.01814,29367.30967,28684.56498,29901.35929,29857.55966,29640.04523,31245.72404,29656.10401,28051.11922,28008.50355,29695.49296,29670.28769,29743.52963,30160.52784,30092.73937,26903.17135,25857.49338,26647.64354,26150.63694,27090.02617,27011.32032,28396.90842,28847.81406,29286.24932,,,,
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1462.407246,1477.212021,1439.375269,1400.437486,1405.365079,1362.172144,1351.789905,1364.068436,1379.99156,1375.865226,1337.599463,1299.027023,1233.651156,1187.076743,1178.995947,1198.504854,1232.311748,1241.70573,1231.641556,1231.5324,1238.551862,1249.558128,1266.276868,1269.714821,1306.957643,1354.005728,1406.789032,1463.690524,1490.087623,1464.157418,1498.427786,1516.765962,1505.094307,1527.750571,1546.133379,1549.03794,1538.589175,1536.362686,1533.514183,1525.165516,1442.74831,
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.8471073,332.2200097,322.6680095,345.9258138,353.720597,392.7104656,398.9711165,472.8422916,526.1036756,511.9985148,557.9496921,568.9645435,565.1792733,556.0072209,552.9969077,553.3550517,546.7430101,555.1389963,529.7412103,
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1087.6348,1085.107082,1102.493743,1157.51562,1193.684274,1214.978972,1167.030662,1032.153187,1023.694398,1155.234389,1330.410062,1439.306151,1448.897823,1472.99254,1583.408344,1509.617385,1596.453405,1627.637572,1549.255354,1586.298663,1574.166468,1425.33775,1340.223835,1218.687919,1192.312967,1224.481843,1208.297863,1192.809189,1217.073563,1211.560162,1256.899657,1237.583489,1237.710508,1191.469544,1156.92359,1148.37411,1169.974869,1187.379009,1196.561965,1181.529548,1193.345162,1222.521675,1308.229506,1344.052356,1413.268101,1455.930481,1492.818253,1532.64464,1584.545455,1638.15521,1704.608056,1738.993397,1779.254136,1837.273584,1894.169982,1894.310195,1846.316666,1839.103754,1843.545758,1852.633574,1788.644061,
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3550.08297,3276.361709,3162.004129,3179.348236,3252.107869,3248.608116,3226.817179,3242.579102,3323.534292,3212.66272,2998.780751,2929.482887,2669.434706,1964.389715,1927.50049,2146.455653,2360.087804,2451.60866,2485.066842,2458.09645,2451.509826,2471.664627,2717.44097,2705.706139,2900.166963,3220.078085,3464.234669,3806.849178,4077.776844,3963.24842,3988.623646,3979.815051,4167.125797,4220.964805,4272.455537,4166.979833,3924.620471,3790.791565,3595.106667,3458.650512,3168.253873,
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1740.505383,1804.010307,1818.367344,1799.878145,1740.347226,1735.289858,1798.014609,1748.578262,1691.530506,1808.645604,1606.296047,1163.491294,1086.438487,1197.580594,1305.000719,1488.020491,1633.551572,1464.297579,1603.64723,1821.872654,1960.881946,2143.526278,2247.497491,2380.643997,2522.448714,2675.507936,2851.367012,3044.895819,3298.478044,3432.169973,3577.113388,3678.046738,3736.339101,3780.698202,3855.759734,3952.802538,4090.371657,4249.803734,4431.539181,4544.515005,4389.89621,
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,35391.0736,35159.46658,36166.41344,37123.26233,37504.7417,36246.68328,36175.32105,36081.65766,35551.73561,34462.49276,34014.48837,32669.46174,31709.2961,30896.95148,30084.56691,29480.34645,29178.54285,29564.82104,29854.80023,30091.2493,30051.17774,29642.71146,28792.19813,27517.54879,27408.28009,27641.88642,28701.09471,31325.51738,32416.01423,33625.24377,34267.58224,35974.87965,36158.58643,37620.20554,39042.95877,39782.92876,40602.53758,40391.87146,37610.56095,35362.69655,34667.17131,34956.59623,33750.05692,33220.56195,34721.89197,35770.7767,37432.76266,37707.6836,38301.29844,39003.38445,34288.53846,
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,3929.588647,4408.902205,4617.052177,4446.357048,4788.079577,5060.365983,5066.445974,4493.589316,4081.265218,4016.10207,3821.899561,3878.597455,3757.582664,3869.034296,3841.10838,4163.234105,4147.313472,4282.351671,4300.816864,4331.364634,4325.908549,4425.8931,4515.734288,4647.247223,4631.75345,4833.370327,4811.065435,4737.793771,4854.865232,5175.993347,5333.226661,5525.384585,5638.308874,5821.01941,5719.30104,5853.000983,5937.504498,6097.822797,6142.058917,6165.953239,6220.716636,6292.438934,6229.11448,6258.315712,6266.949961,5824.178548,
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,99453.45801,99607.00949,104936.6614,90889.79741,98553.3038,111574.3043,108563.211,95338.01541,86108.79563,85032.97764,77644.43913,62368.03633,60813.49861,55816.17486,59119.77636,66023.64723,62854.09255,61294.56467,58633.30726,59364.71342,60169.07425,60548.58341,62264.93283,59297.93951,57875.09238,60716.27309,58421.86261,56815.0844,57932.25144,57910.2313,53844.72281,51197.35585,45388.68166,40755.11178,34580.21323,32534.81755,33246.14059,33996.53889,35495.76527,36995.70172,38663.4005,39400.01783,39798.52173,39670.93153,40438.33852,37497.59259,
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7362.534063,7637.066652,7451.803393,6945.957125,7532.004475,8202.112548,8026.876237,8161.602114,8429.868889,9108.496877,9243.256579,9613.676881,9614.237931,9725.467045,10100.06848,9939.696623,9591.172001,10103.62737,9505.85621,10321.2391,10318.18299,9630.115178,9407.874641,9660.19213,9655.183649,9009.001729,9412.994813,9517.10861,9269.35579,8477.672903,8149.240619,8769.7504,9338.699517,9974.004419,10423.37888,10003.09169,10430.68249,11146.72103,11445.56494,10935.64459,10730.60822,10146.10682,8943.308002,9629.844086,10389.15127,11192.17958,11970.65539,12919.23536,13310.62368,12398.28358,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12712.97074,11344.40574,
